date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:37	95738/95738	---M-Z	200	added ('OK')	text/html	etag:W/%2266c8348d-175fa%22	https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html	(from )
20:35:38	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266ce275a-239b%22	https://crsorgi0gov0in.github.io/robots.txt		(from )
20:35:38	4594/4594	---M--	200	added ('OK')	image/png	etag:%2266c8348d-11f2%22	https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/favicon.png	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/favicon.png	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:38	232827/232827	---M-Z	200	added ('OK')	text/css	etag:W/%2266c8348d-38d7b%22	https://crsorgi0gov0in.github.io/DWD/cdn.jsdelivr.net/npm/bootstrap%405.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:40	0/0	---M--	200	added ('OK')	text/css	etag:%2266c8348d-0%22	https://crsorgi0gov0in.github.io/DWD//material-icons.css	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/material-icons.css	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:40	346789/346789	---M-Z	200	added ('OK')	text/css	etag:W/%2266c8348d-54aa5%22	https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:40	234371/234371	---M--	200	added ('OK')	image/png	etag:%2266c8348d-39383%22	https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/banner2.png	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/banner2.png	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:41	94546/94546	---M--	200	added ('OK')	image/png	etag:%2266c8348d-17152%22	https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:42	3853/3853	---M--	200	added ('OK')	image/png	etag:%2266c8348d-f0d%22	https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:43	5318/5318	---M--	200	added ('OK')	image/png	etag:%2266c8348d-14c6%22	https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/emblem.png	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/emblem.png	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:43	94546/94546	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2009:13:54%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/HH/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:43	13650/13650	---M--	200	added ('OK')	image/png	etag:%2266c8348d-3552%22	https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/crs-logo-light.png	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/crs-logo-light.png	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:43	6340/6340	---M--	200	added ('OK')	image/png	etag:%2266c8348d-18c4%22	https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/azadi_logo_light-min.png	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/azadi_logo_light-min.png	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:43	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266c8348d-155ed%22	https://crsorgi0gov0in.github.io/DWD/code.jquery.com/jquery-3.7.1.min.js	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/code.jquery.com/jquery-3.7.1.min.js	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
20:35:44	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266c8348d-13b51%22	https://crsorgi0gov0in.github.io/DWD/cdn.jsdelivr.net/npm/bootstrap%405.3.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/HH/crsorgi0gov0in.github.io/DWD/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	(from https://crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
